Team,SubsidiaryA,SubsidiaryB,SubsidiaryC,SubsidiaryD,SubsidiaryE,SubsidiaryF,SubsidiaryG,SubsidiaryH
A, , , , , , , , 
B, , , , , , , , 
C, , , , , , , , 
D, , , , , , , , 
E, , , , , , , , 
F, , , , , , , , 
G, , , , , , , , 
H, , , , , , , , 
